﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB当前分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-08-30,3799.59,35857169786471.39,26827435329152,1.4658,0.2784,2.2048,1.6018,1.4079
2019-08-29,3790.19,35809560491425.72,26752824006692,1.4658,0.2785,2.2048,1.6024,1.4079
2019-08-28,3802.58,35895983137984.805,26828849220541,1.4723,0.2884,2.2049,1.6032,1.4079
2019-08-27,3816.95,36039396018034,26931814856632,1.4795,0.3015,2.2057,1.6037,1.4079
2019-08-26,3765.91,35573464776715.41,26584244295793,1.4612,0.2694,2.2078,1.6041,1.4079
2019-08-23,3820.86,36048603227935.81,26945223495515,1.4849,0.317,2.2084,1.6054,1.4079
2019-08-22,3793.51,35830472286273.61,26775895829006,1.4771,0.2958,2.2084,1.6055,1.4079
2019-08-21,3781.76,35798548897956,26715627484491,1.4756,0.2929,2.2106,1.6061,1.4079
2019-08-20,3787.73,35830365746110.97,26751463450316,1.4771,0.2954,2.2123,1.6069,1.4079
2019-08-19,3791.09,35898382649282.62,26776023774221,1.4796,0.2999,2.2138,1.6076,1.4079
2019-08-16,3710.54,35235679193677.09,26264560064320,1.4525,0.2586,2.2168,1.6078,1.4079
2019-08-15,3694,35139690636517,26178092666798,1.4512,0.2555,2.2168,1.6081,1.4079
2019-08-14,3682.4,35037808683478.2,26113792981942,1.4462,0.2493,2.2169,1.6085,1.4079
2019-08-13,3665.75,34900831789467.92,25996890124558,1.4408,0.2427,2.2173,1.6088,1.4079
2019-08-12,3699.1,35184429954023.2,26207187144157,1.4534,0.2592,2.2178,1.6092,1.4079
2019-08-09,3633.53,34651375494314.09,25798440657188,1.4382,0.2405,2.2191,1.6097,1.4079
2019-08-08,3669.29,34895127326798.605,25954588296140,1.4481,0.2505,2.2191,1.6101,1.4079
2019-08-07,3621.43,34497878269629.29,25652779741643,1.4318,0.2341,2.2206,1.6109,1.4079
2019-08-06,3636.33,34633989200245.203,25747849646391,1.4375,0.2386,2.2208,1.6119,1.4079
2019-08-05,3675.69,35014328950216.9,26022488018743,1.4527,0.2563,2.2226,1.6137,1.4079
2019-08-02,3747.44,35675221419534.41,26511124892142,1.48,0.2981,2.2251,1.6154,1.4079
2019-08-01,3803.47,36210692459494.51,26831674177888,1.5019,0.3484,2.2251,1.6154,1.4079
2019-07-31,3835.36,36510182697258.89,27052821693708,1.5144,0.3768,2.2259,1.616,1.4079
2019-07-30,3870.32,36786249554776.6,27228205334363,1.5257,0.3994,2.2262,1.6173,1.4079
2019-07-29,3854.27,36640001649759.91,27125596663798,1.5195,0.3867,2.2263,1.6181,1.4079
2019-07-26,3858.57,36681872404586.01,27149662827111,1.5214,0.391,2.2313,1.6189,1.4079
2019-07-25,3851.07,36629157964686.79,27090361328985,1.5191,0.385,2.2313,1.619,1.4079
2019-07-24,3819.83,36395365582435.72,26906638750117,1.5092,0.3649,2.2316,1.6192,1.4079
2019-07-23,3789.91,36112478139746,26726755830443,1.4973,0.3365,2.2318,1.6197,1.4079
2019-07-22,3781.68,36021928712792,26682121726293,1.4925,0.3266,2.2351,1.6203,1.4079
2019-07-19,3807.96,36257223231276.5,26836602123013,1.5016,0.3466,2.2375,1.6211,1.4079
2019-07-18,3768.4,35917202018418.09,26586675291021,1.4869,0.3159,2.2375,1.6215,1.4079
