﻿时间,收盘点位,市值,流通市值,PE-TTM(加权平均值),PE-TTM当前分位点(加权平均值),PE-TTM危险值(加权平均值),PE-TTM中位值(加权平均值),PE-TTM机会值(加权平均值)
2019-08-30,3799.59,35857169786471.39,26827435329152,11.8614,0.4322,14.9695,12.3371,10.3429
2019-08-29,3790.19,35809560491425.72,26752824006692,11.87,0.434,14.9695,12.338,10.3429
2019-08-28,3802.58,35895983137984.805,26828849220541,11.9399,0.4463,14.9821,12.339,10.3429
2019-08-27,3816.95,36039396018034,26931814856632,12.0124,0.4574,14.9869,12.3452,10.3429
2019-08-26,3765.91,35573464776715.41,26584244295793,11.8798,0.4364,14.9897,12.3532,10.3429
2019-08-23,3820.86,36048603227935.81,26945223495515,12.0836,0.4663,14.9953,12.3559,10.3429
2019-08-22,3793.51,35830472286273.61,26775895829006,12.0443,0.4615,14.9953,12.3594,10.3429
2019-08-21,3781.76,35798548897956,26715627484491,12.0256,0.4578,15.0013,12.3646,10.3429
2019-08-20,3787.73,35830365746110.97,26751463450316,12.0512,0.4615,15.0283,12.3677,10.3429
2019-08-19,3791.09,35898382649282.62,26776023774221,12.0613,0.4624,15.0399,12.3692,10.3429
2019-08-16,3710.54,35235679193677.09,26264560064320,11.8448,0.4293,15.0464,12.3734,10.3429
2019-08-15,3694,35139690636517,26178092666798,11.8923,0.4381,15.0464,12.374,10.3429
2019-08-14,3682.4,35037808683478.2,26113792981942,11.8627,0.4323,15.0501,12.3762,10.3429
2019-08-13,3665.75,34900831789467.92,25996890124558,11.8156,0.4253,15.0535,12.3852,10.3429
2019-08-12,3699.1,35184429954023.2,26207187144157,11.935,0.4434,15.0558,12.3936,10.3429
2019-08-09,3633.53,34651375494314.09,25798440657188,11.764,0.4174,15.061,12.3963,10.3429
2019-08-08,3669.29,34895127326798.605,25954588296140,11.8478,0.4286,15.061,12.3987,10.3429
2019-08-07,3621.43,34497878269629.29,25652779741643,11.7181,0.4089,15.0686,12.4031,10.3429
2019-08-06,3636.33,34633989200245.203,25747849646391,11.7644,0.4171,15.0796,12.4058,10.3429
2019-08-05,3675.69,35014328950216.9,26022488018743,11.8925,0.4356,15.0799,12.409,10.3429
2019-08-02,3747.44,35675221419534.41,26511124892142,12.1169,0.4626,15.0896,12.4171,10.3429
2019-08-01,3803.47,36210692459494.51,26831674177888,12.3002,0.4866,15.0896,12.4202,10.3429
2019-07-31,3835.36,36510182697258.89,27052821693708,12.4049,0.4981,15.0921,12.4265,10.3429
2019-07-30,3870.32,36786249554776.6,27228205334363,12.4991,0.508,15.0944,12.433,10.3429
2019-07-29,3854.27,36640001649759.91,27125596663798,12.4496,0.5023,15.1073,12.433,10.3429
2019-07-26,3858.57,36681872404586.01,27149662827111,12.466,0.5029,15.1188,12.4365,10.3429
2019-07-25,3851.07,36629157964686.79,27090361328985,12.4481,0.5019,15.1188,12.433,10.3429
2019-07-24,3819.83,36395365582435.72,26906638750117,12.3691,0.4944,15.126,12.433,10.3429
2019-07-23,3789.91,36112478139746,26726755830443,12.273,0.485,15.1311,12.4388,10.3429
2019-07-22,3781.68,36021928712792,26682121726293,12.2422,0.4817,15.1499,12.4438,10.3429
2019-07-19,3807.96,36257223231276.5,26836602123013,12.3236,0.4881,15.1872,12.4473,10.3429
2019-07-18,3768.4,35917202018418.09,26586675291021,12.2081,0.4755,15.1872,12.4513,10.3429
2019-07-17,3804.64,36194009478168.88,26818041798139,12.3083,0.4862,15.1972,12.4602,10.3429
2019-07-16,3806.84,36248363261020.6,26844511986677,12.3268,0.4875,15.1992,12.4667,10.3429
2019-07-15,3824.19,36364522891084.1,26935508786035,12.3663,0.4916,15.2002,12.4687,10.3429
2019-07-12,3808.73,36260722725164.99,26868357811041,12.331,0.4873,15.2165,12.4738,10.3429
2019-07-11,3785.22,36012327105523.91,26700216619331,12.2465,0.4817,15.2165,12.4752,10.3429
2019-07-10,3786.74,35981050280921.51,26690779581084,12.2359,0.4796,15.2176,12.4766,10.3429
2019-07-09,3793.13,36174712688634,26755245074925,12.3017,0.4846,15.224,12.4785,10.3429
2019-07-08,3802.79,36284692799511.29,26833423905068,12.3391,0.4879,15.2373,12.4822,10.3429
2019-07-05,3893.2,37106874548423.39,27450192990352,12.6187,0.5123,15.2435,12.4874,10.3429
2019-07-04,3873.1,36985440035374.41,27347322618992,12.5774,0.5097,15.2435,12.4858,10.3429
2019-07-03,3893.53,37126495763348.51,27452598001745,12.6254,0.5121,15.2598,12.4858,10.3429
2019-07-02,3937.17,37485818886585.09,27757153121346,12.7476,0.5282,15.264,12.4858,10.3429
2019-07-01,3935.81,37451287406708.31,27650153982509,12.7359,0.5257,15.2846,12.4858,10.3429
2019-06-28,3825.59,36584290950215.51,26991105738572,12.441,0.4951,15.2867,12.4874,10.3429
2019-06-27,3834.82,36699481780993.49,27087030018779,12.4802,0.499,15.2867,12.4882,10.3429
2019-06-26,3794.33,36385577805246.11,26838509904982,12.3734,0.4899,15.2919,12.4938,10.3429
2019-06-25,3801.31,36452681319833.01,26863618623836,12.3963,0.4916,15.2994,12.5041,10.3429
2019-06-24,3841.27,36803437023294.21,27130675699663,12.5155,0.5002,15.3143,12.5126,10.3429
2019-06-21,3833.94,36720795055661.79,27064921415028,12.4874,0.4984,15.3195,12.52,10.3429
2019-06-20,3828.52,36655214728449.39,27015289101422,12.4651,0.4957,15.3195,12.5203,10.3429
2019-06-19,3715.94,35712578410771.51,26327875646457,12.1446,0.4677,15.3364,12.521,10.3429
2019-06-18,3667.62,35346261423365.99,26086303220159,12.02,0.4533,15.3364,12.523,10.3429
2019-06-17,3654.82,35249910981205.305,26028053082652,11.9872,0.4484,15.3498,12.5288,10.3429
2019-06-14,3654.88,34339312325093.99,25822680966255,11.8112,0.4231,15.3503,12.5343,10.3429
2019-06-13,3685.39,34571046723420.293,26001299626724,11.8909,0.4348,15.3503,12.5368,10.3429
2019-06-12,3691.1,34633509082459.707,26035065001292,11.9124,0.4377,15.3512,12.5407,10.3429
2019-06-11,3719.28,34864362847128.008,26206087910473,11.9918,0.4471,15.3513,12.5449,10.3429
2019-06-10,3610.74,34082756622340.4,25589704649667,11.7229,0.4089,15.3533,12.5495,10.3429
2019-06-06,3564.68,33728534683621.61,25297072012296,11.6011,0.3795,15.3799,12.558,10.3429
2019-06-05,3597.1,33992804240963.387,25483603036449,11.692,0.4034,15.3917,12.5588,10.3429
2019-06-04,3598.47,33961055808706.29,25475545160113,11.6811,0.4005,15.4014,12.5615,10.3429
2019-06-03,3632.01,34184692865783.61,25664376886259,11.758,0.4145,15.4147,12.5637,10.3429
2019-05-31,3629.79,34168461442244.293,25655064713283,11.7524,0.4131,15.4194,12.5715,10.345
2019-05-30,3641.18,34295751132300.61,25761728032955,11.7962,0.4186,15.4207,12.5747,10.3429
2019-05-29,3663.91,34414756125446.51,25852425858464,11.8371,0.4237,15.4207,12.5757,10.3429
2019-05-28,3672.26,34463508733384.594,25905905479668,11.8539,0.4247,15.4207,12.5767,10.3429
2019-05-27,3637.2,34176492562423.3,25669364018492,11.7552,0.4136,15.4254,12.5772,10.3429
2019-05-24,3593.91,33843813915893.51,25411336237717,11.6407,0.3933,15.4314,12.5873,10.3429
2019-05-23,3583.96,33759125552591.12,25351779272416,11.6116,0.3831,15.4314,12.5891,10.3429
2019-05-22,3649.38,34230747082853.5,25718412839108,11.7738,0.414,15.4349,12.5895,10.3429
2019-05-21,3666.78,34377662466378.9,25832938954100,11.8244,0.421,15.4365,12.597,10.3429
2019-05-20,3617.79,33999236579912.69,25528603587024,11.6942,0.4033,15.4373,12.6042,10.3429
2019-05-17,3648.76,34142685756890.3,25667266115950,11.7435,0.4105,15.4487,12.6179,10.3429
2019-05-16,3743.96,34897120355121.8,26236489189457,12.003,0.442,15.4487,12.6278,10.3429
2019-05-15,3727.09,34749015882353.58,26119122828187,11.9521,0.4358,15.4497,12.6299,10.3429
2019-05-14,3645.15,34091563243546.81,25608539809146,11.726,0.407,15.4536,12.6312,10.3429
2019-05-13,3668.73,34291361058860.7,25759825314599,11.7947,0.4156,15.4584,12.6366,10.3429
2019-05-10,3730.45,34816902234393.4,26108359623556,11.9754,0.4377,15.462,12.6509,10.3429
2019-05-09,3599.7,33778368670178,25301655646319,11.6182,0.386,15.462,12.6525,10.3429
2019-05-08,3667.46,34356746144381.52,25738119090453,11.8172,0.4173,15.4645,12.669,10.3429
2019-05-07,3720.67,34837696081569.9,26041729691196,11.9826,0.4374,15.4648,12.6722,10.3429
2019-05-06,3684.62,34625720792790.105,25863459255319,11.9097,0.4292,15.4654,12.6741,10.3429
2019-04-30,3913.21,36551703488188.08,27278604091823,12.542,0.4889,15.485,12.6782,10.3429
2019-04-29,3900.33,36457432941173.01,27192194889295,12.5747,0.4918,15.4898,12.6856,10.3429
2019-04-26,3889.27,36344403448041.99,27097249195212,12.6081,0.4945,15.4993,12.686,10.345
2019-04-25,3941.82,36759048869216.9,27429235333555,12.8258,0.5214,15.5046,12.6861,10.3429
2019-04-24,4030.09,37492880420115.7,27984577237977,13.0779,0.5584,15.5222,12.6861,10.3429
2019-04-23,4019.01,37450446991944.41,27950436213913,13.1606,0.5732,15.5227,12.6861,10.3429
2019-04-22,4025.61,37514360243015.69,27877271769491,13.163,0.5736,15.5252,12.6861,10.3429
2019-04-19,4120.61,38337358111047.69,28475724866736,13.4576,0.619,15.528,12.6868,10.345
2019-04-18,4072.08,38008194008665.91,28201998936307,13.348,0.6049,15.5347,12.6861,10.3429
